"","pan.samplesID","cancer.type","Subtype_mRNA","Subtype_DNAmeth","Subtype_protein","Subtype_miRNA","Subtype_CNA","Subtype_Integrative","Subtype_other","Subtype_Selected"
"822","TCGA-BH-A18S-11A-43R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"823","TCGA-BH-A18F-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"824","TCGA-BH-A18G-01A-11R-A12D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"825","TCGA-BH-A18H-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"826","TCGA-E2-A1AZ-01A-11R-A12P-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"827","TCGA-E2-A1BC-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"828","TCGA-BH-A18K-11A-13R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"829","TCGA-BH-A18L-11A-42R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"830","TCGA-BH-A18M-11A-33R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"831","TCGA-BH-A18N-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"832","TCGA-BH-A18P-01A-11R-A12D-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"833","TCGA-BH-A18Q-01A-12R-A12D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"834","TCGA-BH-A18U-11A-23R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"835","TCGA-BH-A18V-11A-52R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"836","TCGA-C8-A12Y-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"837","TCGA-C8-A133-01A-32R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"838","TCGA-E2-A14P-01A-31R-A12D-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"839","TCGA-E2-A150-01A-11R-A12D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"840","TCGA-E2-A152-01A-11R-A12D-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"841","TCGA-E2-A153-01A-12R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"842","TCGA-E2-A153-11A-31R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"843","TCGA-E2-A15E-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"844","TCGA-BH-A18L-01A-32R-A12D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"845","TCGA-BH-A18M-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"846","TCGA-BH-A18Q-11A-34R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"847","TCGA-BH-A18R-11A-42R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
